tweet,label
  As a woman you should n't complain about cleaning up your house .   as a man you should always take the trash out ... ,0
  boy dats cold ... tyga dwn bad for cuffin dat hoe in the 1st place ,1
  Dawg You ever fuck a bitch and she start to cry ? You be confused as shit ,1
   she look like a tranny ,0
  The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,1
  The shit just blows me .. claim you so faithful and down for somebody but still fucking with hoes ,0
  I can not just sit up and HATE on another bitch .. I got too much shit going on ,1
  cause I 'm tired of you big bitches coming for us skinny girls ,1
   you might not get ya bitch back   that s that ,1
   hobbies include fighting Mariambitch ,0
  Keeks is a bitch she curves everyone   lol I walked into a conversation like this . Smh ,1
  Murda Gang bitch its Gang Land ,1
  So hoes that smoke are losers ?   yea ... go on IG ,0
  bad bitches is the only thing that i like ,1
  bitch get up off me ,0
  bitch nigga miss me with it ,1
  bitch plz whatever ,1
  bitch who do you love ,0
  bitches get cut off everyday B ,1
  black bottle   a bad bitch ,1
  broke bitch ca nt tell me nothing ,1
  cancel that bitch like Nino ,1
  ca nt you see these hoes wo nt change ,1
  fuck no that bitch do nt even suck dick    the Kermit videos bout to fuck IG up ,1
  got ya bitch tip toeing on my hardwood floors    ,1
  her pussy lips like Heaven doors   ,0
  hoe what its hitting for ,1
  i met that pussy on Ocean Dr . i gave that pussy a pill   ,1
  i need a trippy bitch who fuck on Hennessy ,1
  i spend my money how i want bitch its my business ,1
  i txt my old bitch my new bitch pussy wetter ,1
  i 'd say i m back to the old me but my old bitches would get excited   ,1
  if you ai nt bout that Murder Game pussy nigga shut up ,1
  if you 're toes ai n't done you pussy stinks ,1
  i m done with bitter bitches its a wrap for that . if you a angry bird there s a app for that ,1
  is that ya bitch ,1
  it ai nt nothing to cut a bitch off ,1
  jus meet son now he ya mane ass bitches   ,1
  lames crying over hoes that s tears of a clown ,0
  like Snoop said in 94 we do nt love these hoes ,1
  momma said no pussy cats inside my doghouse ,0
  most hated but the hoes favorite      ,1
"  nice girls bad , make me get naughty . Bad yello hoe , real nice body . Down south chick , like em real thick ",1
  pimps up pimps up hoes down   Future voice ,1
  post a picture of that pussy get 200 likes ,1
  pussy is a powerful drug     ,1
  quick piece of pussy call it a drive by ,1
  running round here like some brand new pussy that s bout to get fucked ,1
  these bitches even worst they 'll send them guys for you ,1
  these hoes like niggas that spend money not talk bout it ,0
  we do nt trust these niggas all these bitches ,0
  y all niggas b cuffing hoes cause y all ai nt never have bitches ,1
  you dodge a bullet     All da bitches I cut off pregnant or bound to be .... thank God ,1
  young Pill Chamberlain these bitches love my music ,1
  Teanna Trump probably cleaner than most of these twitter hoes but ......... ,0
  Gay niggas could n't wait to act like bitches tonight ,1
  And i m a steal his cat n replace it with a pitbull    He a bitch you should do it ,1
  he 's gone always be a hoe ,1
... Son of a bitch took my Tic Tacs . I like this movie . ,1
.. All I wanna do is get money and fuck model bitches - Russell Simmons ,1
  I probably wouldn mind school as much if we didn have to deal with bitch ass teachers . Retweet ,0
  I 'm a fucking fag they said ,1
  Females think dating a pussy is cute now ?   how does doing this stuff make him a pussy ? ,1
  -SimplyAddictedToGuys   woof woof hot scally lad ,0
  Have ya ever asked your bitch for other bitches - kanye voice Yes ,1
  How u gone bring ur side bitch to a game where You know Ya gf friends at ?   I SWEAR ,1
   woof woof and hot soles ,0
